               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.022619,           0.0059186,           0.0070004,             0.87596,             0.77429,             0.83985,             0.64818,            0.017616,           0.0044655,           0.0063076,            0.006436,            0.006436,            0.006436
                 110,            0.021944,            0.006261,           0.0065404,             0.83978,             0.81496,             0.86546,             0.65963,            0.017021,           0.0043929,           0.0056312,            0.006403,            0.006403,            0.006403
                 111,            0.021712,           0.0063064,           0.0061283,             0.80273,             0.82946,             0.82846,             0.63926,            0.017338,           0.0044784,           0.0056303,             0.00637,             0.00637,             0.00637
                 112,            0.022065,           0.0062745,           0.0068772,             0.87907,             0.78228,             0.83718,             0.66287,            0.017185,           0.0043906,           0.0055177,            0.006337,            0.006337,            0.006337
                 113,            0.022016,           0.0062021,           0.0065599,             0.79821,             0.83155,             0.83313,             0.63818,            0.017332,           0.0044779,           0.0055465,            0.006304,            0.006304,            0.006304
                 114,            0.021716,           0.0063576,           0.0062204,             0.79593,             0.85008,             0.84398,              0.6523,            0.016999,           0.0044398,           0.0057922,            0.006271,            0.006271,            0.006271
                 115,            0.021737,           0.0063131,           0.0064141,             0.81074,             0.84272,             0.85347,              0.6554,             0.01765,           0.0044505,           0.0053194,            0.006238,            0.006238,            0.006238
                 116,            0.022099,           0.0062521,           0.0064805,             0.80174,             0.82259,             0.85021,             0.66163,            0.017062,           0.0043979,           0.0056462,            0.006205,            0.006205,            0.006205
                 117,            0.021237,           0.0060481,           0.0061194,             0.78289,             0.86694,             0.85266,             0.66317,            0.017054,           0.0043737,           0.0056552,            0.006172,            0.006172,            0.006172
                 118,             0.02212,           0.0061446,           0.0061639,             0.78444,             0.83446,             0.84338,             0.64148,            0.017127,           0.0043743,           0.0062845,            0.006139,            0.006139,            0.006139
                 119,            0.021709,           0.0061944,           0.0063845,             0.81035,              0.8586,             0.85915,             0.67472,            0.017071,           0.0043821,           0.0054669,            0.006106,            0.006106,            0.006106
                 120,            0.021946,           0.0059989,           0.0061907,             0.81335,             0.83109,             0.85004,             0.67007,            0.017138,           0.0043941,           0.0053405,            0.006073,            0.006073,            0.006073
                 121,            0.021612,           0.0062541,           0.0059332,             0.77679,             0.86232,             0.86119,             0.66927,            0.016952,           0.0043338,           0.0053718,             0.00604,             0.00604,             0.00604
                 122,            0.021508,           0.0061817,           0.0061784,             0.82175,             0.84745,             0.86601,             0.68152,              0.0169,           0.0043407,            0.005052,            0.006007,            0.006007,            0.006007
                 123,            0.021521,           0.0061996,           0.0055642,             0.77691,             0.87305,              0.8557,             0.66598,            0.016948,            0.004354,           0.0054562,            0.005974,            0.005974,            0.005974
                 124,            0.021284,           0.0061412,           0.0057011,             0.78306,             0.86311,             0.85138,             0.67302,            0.017133,              0.0044,           0.0053113,            0.005941,            0.005941,            0.005941
                 125,            0.021212,           0.0061521,           0.0056864,             0.78923,             0.85309,              0.8633,             0.68301,            0.016702,           0.0043476,           0.0050797,            0.005908,            0.005908,            0.005908
